device_timestamp_us,sequence,target_frame,written_frame,source_frames,gap_frames,trimmed_frames
10729069,734,112799,112799,240,0,0
10739049,735,113039,113039,240,0,0
10749161,737,113282,113282,240,3,0
10759009,738,113518,113522,240,0,4
10769096,740,113758,113758,240,0,0
10779022,741,113998,113998,240,0,0
10789117,743,114241,114241,240,3,0
10799098,744,114481,114481,240,0,0
10809105,746,114721,114721,240,0,0
10819121,747,114961,114961,240,0,0
10829042,749,115201,115201,240,0,0
10839089,750,115441,115441,240,0,0
10849046,752,115681,115681,240,0,0
10859128,753,115921,115921,240,0,0
10869271,755,116165,116165,240,4,0
10879025,756,116399,116405,240,0,6
10889079,758,116639,116639,240,0,0
10899104,759,116879,116879,240,0,0
10909125,761,117119,117119,240,0,0
10919117,762,117359,117359,240,0,0
10929124,764,117599,117599,240,0,0
10939013,765,117839,117839,240,0,0
10949066,767,118079,118079,240,0,0
10958991,768,118319,118319,240,0,0
10969175,770,118562,118562,240,3,0
10979033,771,118799,118802,240,0,3
10989133,773,119039,119039,240,0,0
10998994,774,119279,119279,240,0,0
11009140,776,119519,119519,240,0,0
11019110,777,119759,119759,240,0,0
11029113,779,119999,119999,240,0,0
11039100,780,120239,120239,240,0,0
11049122,782,120479,120479,240,0,0
11059054,783,120719,120719,240,0,0
11069339,785,120966,120966,240,7,0
11079027,786,121199,121206,240,0,7
11089127,788,121439,121439,240,0,0
11099140,789,121679,121679,240,0,0
11109020,791,121919,121919,240,0,0
11119137,792,122159,122159,240,0,0
11129121,794,122399,122399,240,0,0
11139074,795,122639,122639,240,0,0
11149084,797,122879,122879,240,0,0
11159204,798,123123,123123,240,4,0
11169149,800,123363,123363,240,0,0
11179018,801,123598,123603,240,0,5
11189031,803,123838,123838,240,0,0
11199176,804,124082,124082,240,4,0
11209113,806,124322,124322,240,0,0
11219023,807,124559,124562,240,0,3
11229124,809,124799,124799,240,0,0
11239132,810,125039,125039,240,0,0
11249023,812,125279,125279,240,0,0
11259012,813,125519,125519,240,0,0
11269063,815,125759,125759,240,0,0
11279199,816,126003,126003,240,4,0
11289376,818,126247,126247,240,4,0
11299072,819,126480,126487,240,0,7
11309004,821,126720,126720,240,0,0
11319079,822,126960,126960,240,0,0
11329116,824,127200,127200,240,0,0
11339023,825,127440,127440,240,0,0
11349107,827,127680,127680,240,0,0
11359111,828,127920,127920,240,0,0
11369124,830,128160,128160,240,0,0
11379136,831,128400,128400,240,0,0
11389109,833,128640,128640,240,0,0
11399087,834,128880,128880,240,0,0
